url,price,name
https://auburn.craigslist.org/,10.00,auburn
https://bham.craigslist.org/,25.00,birmingham
https://dothan.craigslist.org/,10.00,dothan
https://shoals.craigslist.org/,10.00,florence / muscle shoals
https://gadsden.craigslist.org/,10.00,gadsden-anniston
https://huntsville.craigslist.org/,15.00,huntsville / decatur
https://mobile.craigslist.org/,15.00,mobile
https://montgomery.craigslist.org/,10.00,montgomery
https://tuscaloosa.craigslist.org/,10.00,tuscaloosa
https://anchorage.craigslist.org/,20.00,anchorage / mat-su
https://fairbanks.craigslist.org/,10.00,fairbanks
https://kenai.craigslist.org/,10.00,kenai peninsula
https://juneau.craigslist.org/,10.00,southeast alaska
https://flagstaff.craigslist.org/,15.00,flagstaff / sedona
https://mohave.craigslist.org/,10.00,mohave county
https://phoenix.craigslist.org/,45.00,phoenix
https://prescott.craigslist.org/,10.00,prescott
https://showlow.craigslist.org/,10.00,show low
https://sierravista.craigslist.org/,10.00,sierra vista
https://tucson.craigslist.org/,25.00,tucson
https://yuma.craigslist.org/,10.00,yuma
https://fayar.craigslist.org/,20.00,fayetteville 
https://fortsmith.craigslist.org/,10.00,fort smith
https://jonesboro.craigslist.org/,10.00,jonesboro
https://littlerock.craigslist.org/,20.00,little rock
https://texarkana.craigslist.org/,10.00,texarkana
https://bakersfield.craigslist.org/,20.00,bakersfield
https://chico.craigslist.org/,15.00,chico
https://fresno.craigslist.org/,25.00,fresno / madera
https://goldcountry.craigslist.org/,15.00,gold country
https://hanford.craigslist.org/,10.00,hanford-corcoran
https://humboldt.craigslist.org/,15.00,humboldt county
https://imperial.craigslist.org/,10.00,imperial county
https://inlandempire.craigslist.org/,35.00,inland empire
https://losangeles.craigslist.org/,45.00,los angeles
https://mendocino.craigslist.org/,10.00,mendocino county
https://merced.craigslist.org/,10.00,merced
https://modesto.craigslist.org/,20.00,modesto
https://monterey.craigslist.org/,20.00,monterey bay
https://orangecounty.craigslist.org/,35.00,orange county
https://palmsprings.craigslist.org/,15.00,palm springs
https://redding.craigslist.org/,15.00,redding
https://sacramento.craigslist.org/,35.00,sacramento
https://sandiego.craigslist.org/,35.00,san diego
https://sfbay.craigslist.org/,75.00,san francisco bay area
